ticker,sector,cap,bars,data_integrity,signal_admissible,max_signal,bear_frequency,sideways_frequency,bull_frequency,transition_cells_covering_base_rate,overlap_persistence,stride_persistence,hit_rate,log_loss,baseline_log_loss,log_loss_delta,brier_score,baseline_brier,brier_delta,markov_gross_sharpe,markov_net_sharpe,baseline_net_sharpe,buy_hold_net_sharpe,markov_minus_baseline_sharpe,circular_null_percentile,circular_p_value,iid_null_percentile,cagr,max_drawdown,exposure,turnover,profit_factor,permutation_gate,baseline_gate,final_verdict
TCS.NS,Information Technology,Large Cap,2468,PASS,PASS,0.224537037037037,0.17647058823529413,0.548202614379085,0.27532679738562094,9,0.841537980302676,0.28348542192637155,0.499194847020934,1.0387914645809901,1.0074279700267317,-0.031363494554258464,0.6143805118806502,0.6004496591829839,-0.013930852697666363,0.18431256988128575,0.09117385579171598,0.39167926511190937,0.31754372429504935,-0.3005054093201934,60.699999999999996,0.3936063936063936,89.1,-0.003272878651494282,-0.5001197766884989,0.7350680070963926,19.820224719101123,1.0293345242918297,FAIL,FAIL,NO EVIDENCE OF EDGE
INFY.NS,Information Technology,Large Cap,2468,FAIL,PASS,0.15912208504801098,0.17933006535947713,0.516748366013072,0.30392156862745096,9,0.849743677445868,0.3246379033816813,0.5120627261761158,1.063782117485273,1.0501958245799266,-0.01358629290534652,0.637513278006843,0.6333292463421925,-0.004184031664650534,0.3740255428837163,0.3608362539320802,0.761726821748072,0.44790573215131485,-0.40089056781599186,68.89999999999999,0.3116883116883117,72.2,0.0636965331284407,-0.48171644951277054,0.9810762862211709,3.725606150206978,1.0703446029288957,FAIL,FAIL,NO EVIDENCE OF EDGE
WIPRO.NS,Information Technology,Large Cap,2468,FAIL,PASS,0.13801452784503632,0.20506535947712418,0.5089869281045751,0.28594771241830064,9,0.8541229612054746,0.35092646368378316,0.5120076849183477,1.0922247545940063,1.0815988835715542,-0.01062587102245205,0.6587832117712088,0.6542417541554586,-0.0045414576157502,0.35068310970886135,0.24285004972977434,0.7916025948493531,0.4025085228694776,-0.5487525451195788,60.099999999999994,0.3996003996003996,88.65030674846625,0.029721164987899895,-0.4696976311090548,0.615612063867534,24.141927853341215,1.0709344263884126,FAIL,FAIL,NO EVIDENCE OF EDGE
HCLTECH.NS,Information Technology,Large Cap,2468,PASS,PASS,0.1669291338582677,0.17238562091503268,0.5187908496732027,0.3088235294117647,9,0.8454717963305338,0.3275456086096594,0.5040322580645161,1.2416699304737204,1.0701606903905974,-0.17150924008312307,0.6630063602822934,0.6490878849786469,-0.013918475303646538,0.1460134075458195,0.06519414388254166,0.9549977283756406,0.7577026830431786,-0.8898035844930989,9.3,0.9070929070929071,2.1,-0.013126463257242982,-0.3972150776482544,0.7338852749852158,19.373151981076287,1.0202077779834327,FAIL,FAIL,NO EVIDENCE OF EDGE
TECHM.NS,Information Technology,Large Cap,2468,FAIL,PASS,0.2075149444918873,0.1830065359477124,0.4791666666666667,0.33782679738562094,9,0.8509936856039592,0.33987199307493837,0.5208955223880597,1.0448573141268187,1.037619424287936,-0.007237889838882738,0.6331564915571712,0.6278231163190509,-0.005333375238120386,1.1175278009504572,1.042208181700691,1.0571503035445893,0.6805220975315189,-0.014942121843898315,98.7,0.013986013986013986,100.0,0.2496552878066911,-0.24541755988495523,0.7930218805440568,18.031933767001775,1.2261111906761184,PASS,FAIL,NO EVIDENCE OF EDGE
HDFCBANK.NS,Financials,Large Cap,2468,PASS,PASS,0.16666666666666666,0.12990196078431374,0.6429738562091504,0.22712418300653595,9,0.854430662277164,0.3087662999371495,0.5067961165048543,0.9747219945443691,0.947206297685512,-0.02751569685885713,0.5611900185967338,0.5494975502166176,-0.011692468380116172,0.22572068873659068,0.1990896695732135,0.13917924480535707,0.27167098878278706,0.059910424767856435,70.7,0.2937062937062937,94.8,0.019821941000657706,-0.34995515869476806,0.9136605558840922,5.811945594322886,1.039904789406124,FAIL,PASS,NO EVIDENCE OF EDGE
ICICIBANK.NS,Financials,Large Cap,2468,FAIL,PASS,0.35220125786163525,0.12990196078431374,0.5612745098039216,0.3088235294117647,9,0.8459075446952612,0.3299228474348597,0.5180451127819549,0.9452346731129956,0.9383196768720167,-0.00691499624097891,0.5659173604790526,0.5642069452712134,-0.001710415207839211,0.6983640870673232,0.6352563789046082,0.7106772964692866,0.7809581142389824,-0.07542091756467839,40.2,0.5984015984015985,3.1,0.13881325331269623,-0.5073682601525386,0.7865168539325843,16.243642814902426,1.1579667651340932,FAIL,FAIL,NO EVIDENCE OF EDGE
SBIN.NS,Financials,Large Cap,2468,FAIL,PASS,0.1943844492440605,0.18913398692810457,0.4979575163398693,0.31290849673202614,9,0.8422369562761055,0.2947223063241201,0.5302083333333333,1.0488756976515372,1.023353741949509,-0.02552195570202831,0.6299376445398923,0.6172459967487052,-0.012691647791187144,0.23322022987264723,0.1252707312146782,0.9795741978428414,0.8850239026302414,-0.8543034666281633,2.5,0.975024975024975,5.800000000000001,0.0018097116131059465,-0.5798705116147956,0.5677114133648729,25.185097575399173,1.045198869662438,FAIL,FAIL,NO EVIDENCE OF EDGE
KOTAKBANK.NS,Financials,Large Cap,2468,PASS,PASS,0.16147308781869688,0.14501633986928106,0.6286764705882353,0.22630718954248366,9,0.8354310871149856,0.3150901550541603,0.49847405900305186,0.9504756241966007,0.9415316787621699,-0.008943945434430778,0.5508447784214983,0.5450244215264615,-0.005820356895036793,0.1875773318768721,0.11530626960585988,0.014315051151236421,0.2501431318596849,0.10099121845462346,66.7,0.3336663336663337,88.76288659793813,0.002616341343077311,-0.30730974391740823,0.5819041986989947,14.902424600827912,1.0345816831810033,FAIL,PASS,NO EVIDENCE OF EDGE
AXISBANK.NS,Financials,Large Cap,2468,FAIL,PASS,0.14044512663085187,0.18137254901960784,0.5339052287581699,0.2847222222222222,9,0.8533637940783199,0.3343822964682957,0.5134883720930232,1.0301672920799845,1.0171027771929018,-0.013064514887082712,0.6179000859060931,0.6109788671563718,-0.006921218749721292,0.8329476544234974,0.7153267175335358,0.5006737640681467,0.42887071761509177,0.21465295346538915,97.1,0.029970029970029972,99.8,0.13418255551223623,-0.25003157669228054,0.6363098758131284,24.2909520993495,1.1852643091072625,PASS,PASS,MODEL FAILURE
